id,precio,superficie_total,superficie_util,superficie_terraza,ambientes,dormitorios,banos,estacionamientos,cant_max_habitantes,bodegas,gastos_comunes,cantidad_pisos,departamentos_piso,numero_piso_unidad,comuna
933,225000.0,58.0,48.0,0.0,2,2,2,1,0,0,150000.0,0,0,0,otras
934,360000.0,41.0,38.0,0.0,1,1,1,0,0,0,45000.0,0,0,0,otras
935,1290000.0,1156.0,110.0,0.0,0,3,2,2,0,1,120000.0,0,0,0,otras
936,440000.0,0.0,51.0,0.0,0,0,0,0,0,0,93000.0,0,0,0,san miguel
937,45.0,145.0,120.0,25.0,0,1,2,1,2,1,250000.0,10,6,1,las condes
938,290000.0,35.0,33.0,2.0,0,1,1,0,2,0,65000.0,30,10,12,santiago
939,25.0,80.0,70.0,10.0,0,2,2,1,0,1,160000.0,14,4,6,las condes
940,380000.0,50.0,50.0,0.0,2,2,1,0,0,0,90000.0,0,0,0,santiago
941,450000.0,50.0,50.0,0.0,0,2,2,1,0,1,150000.0,0,0,13,santiago
942,1600000.0,159.0,139.0,20.0,0,3,4,2,0,1,300000.0,16,5,7,otras
943,345000.0,0.0,41.0,0.0,0,0,0,0,0,0,70000.0,0,0,0,san miguel
944,41.0,127.0,110.0,17.0,0,4,3,1,0,1,270000.0,11,7,10,providencia
945,2860000.0,500.0,200.0,300.0,5,4,5,3,6,1,370000.0,3,1,2,otras
946,660000.0,39.0,39.0,0.0,0,1,1,1,0,1,125000.0,0,0,17,las condes
947,297000.0,35.0,35.0,0.0,1,1,1,0,0,0,60000.0,0,0,0,santiago
948,1700000.0,140.0,140.0,0.0,0,2,4,1,0,1,260000.0,0,0,0,otras
949,1600000.0,95.0,85.0,10.0,0,2,3,1,0,1,190000.0,4,2,2,otras
950,507412.0,38.0,34.0,0.0,1,1,1,1,0,1,60000.0,0,0,0,ñuñoa
951,37.0,170.0,133.0,37.0,0,4,4,2,0,1,520000.0,14,2,8,las condes
952,530000.0,75.0,73.0,0.0,2,2,2,1,0,1,120000.0,0,0,0,otras
953,382364.0,389.0,32.0,0.0,0,1,1,0,2,0,0.0,17,8,0,san miguel
954,400000.0,39.0,36.0,0.0,1,1,1,1,0,1,50000.0,0,0,0,santiago
955,453565.0,48.0,43.0,0.0,2,2,2,1,0,1,50000.0,0,0,0,san miguel
956,360000.0,51.0,47.0,0.0,2,2,1,0,0,0,50000.0,0,0,0,santiago
957,450000.0,68.0,68.0,0.0,0,2,2,1,0,1,70000.0,19,10,0,san miguel
958,427500.0,0.0,48.0,0.0,0,0,0,0,0,0,67000.0,0,0,0,san miguel
959,370000.0,54.0,50.0,0.0,3,3,1,0,0,0,65000.0,0,0,0,san miguel
960,365000.0,45.0,45.0,0.0,2,2,1,0,0,0,65000.0,0,0,0,santiago
961,1100000.0,108.0,98.0,0.0,0,2,3,1,0,0,0.0,0,0,0,las condes
962,560000.0,0.0,45.0,0.0,0,0,0,0,0,0,80000.0,0,0,0,san miguel
963,310000.0,37.0,34.0,0.0,1,1,1,0,0,0,55000.0,0,0,0,san miguel
964,49.0,190.0,160.0,30.0,0,3,4,2,0,1,300000.0,9,0,1,las condes
965,400000.0,65.0,65.0,5.0,0,2,2,0,4,0,50000.0,12,8,7,la florida
966,300000.0,32.0,32.0,0.0,1,1,1,0,0,0,50000.0,0,0,0,santiago
967,495000.0,60.0,56.0,0.0,3,3,1,2,0,0,50000.0,0,0,0,otras
968,390000.0,56.0,54.0,0.0,2,2,2,0,0,0,65000.0,0,0,0,santiago
969,6.0,26.0,25.0,0.0,1,1,1,0,0,0,45000.0,0,0,0,santiago
970,430000.0,41.0,38.0,0.0,2,2,1,0,0,1,75000.0,0,0,0,otras
971,270000.0,22.0,22.0,0.0,1,1,1,0,0,0,25000.0,0,0,0,santiago
972,890000.0,130.0,123.0,7.0,0,3,2,1,4,0,25000.0,4,4,2,ñuñoa
973,398434.0,66.0,64.0,0.0,2,2,2,0,0,1,55000.0,0,0,0,santiago
974,320000.0,0.0,43.0,0.0,0,0,0,0,0,0,40000.0,0,0,0,estación central
975,470000.0,55.0,51.0,0.0,3,3,1,1,0,0,80000.0,0,0,0,la cisterna
976,1300000.0,102.0,90.0,10.0,0,2,3,2,0,1,220000.0,0,0,2,las condes
977,1050000.0,70.0,70.0,0.0,0,3,2,2,0,1,280000.0,0,0,0,las condes
978,310500.0,36.0,34.0,0.0,1,1,1,0,0,0,80000.0,0,0,0,san miguel
979,350000.0,39.0,38.0,0.0,2,2,1,0,0,0,45000.0,0,0,0,san miguel
980,450000.0,55.0,50.0,5.0,0,2,2,1,4,1,100000.0,17,8,15,santiago
982,500000.0,0.0,55.0,0.0,0,0,0,0,0,0,110000.0,0,0,0,san miguel
